
building_colony_shelter|舰船改装庇护所
building_gaiaseeders_pc_gaia|盖亚播种器 - 收尾阶段



★【03_resource_buildings】



#############

# 资源建筑

#############



building_hydroponics_farm|水培农场



building_food_processing_facility|食物加工厂



building_food_processing_center|食物处理中心



building_farming_districts_1|作物发育中心



building_farming_districts_2|土壤回收中心



building_farming_districts_3|自动农业复合体



building_farming_districts_4|行星耕作网格



building_baol_organic_plant|巴奥有机工厂



building_mine_generic|地表采石站



building_mineral_purification_plant|矿物处理站



building_mineral_purification_hub|矿物处理中心



building_mining_districts_1|工业采矿站



building_mining_districts_2|地核钻穿阵列



building_mining_districts_3|地震挖掘场



building_mining_districts_4|深壳提取网格



building_generator_generic|发电园区



building_energy_grid|输电网络



building_energy_nexus|能源中枢



building_generator_districts_1|传导工程复合体



building_generator_districts_2|变继电综合体



building_generator_districts_3|等离子约束阵列



building_generator_districts_4|行星中枢



building_resource_silo|资源仓库



building_bio_reactor|生物反应堆



building_bio_reactor_2|先进生物反应堆



★【04_manufacturing_buildings】



#############

# 资源建筑

#############



building_foundry_1|合金铸造厂



building_foundry_2|巨型合金熔炉



building_foundry_3|纳米合金工厂



building_factory_1|民用工业体



building_factory_2|民用工业中心



building_factory_3|民用复制厂群



building_refinery|异星天然气精炼厂



building_chemical_plant|化学厂



building_crystal_plant|水晶合成厂



building_nanite_transmuter|纳米变形器



building_ministry_production|生产部



building_production_center|资源处理中心



building_coordinated_fulfillment_center_1|协同物流中心



building_coordinated_fulfillment_center_2|统一生产力调度设施



building_archaeo_refinery|远古精炼厂



building_foundry_upkeep_1|合金回收厂



building_foundry_efficiency_1|冶金研究实验室



building_factory_upkeep_1|再利用中心



building_factory_efficiency_1|分布式设计中心



★【05_research_buildings】



#############

# 科研建筑

#############



building_research_lab_1|研究实验室



building_research_lab_2|研究大楼



building_research_lab_3|高级研究大楼



building_institute|研究中心



building_supercomputer|星球超级计算机



building_archaeostudies_faculty|远古学院



building_vultaum_reality_computer|沃陶姆现实计算机



building_physics_lab_1|场动力学中心



building_physics_lab_2|量子关联学辅楼



building_physics_lab_3|基础科研枢纽



building_biolab_1|异星生物实验室



building_biolab_2|神经遗传学院



building_biolab_3|生命系统综合楼



building_engineering_facility_1|材料学工坊



building_engineering_facility_2|应用机械学院



building_engineering_facility_3|高等工程综合楼



building_ranger_lodge|护林员小屋



building_research_upkeep_1|科研补给站



building_research_efficiency_1|数据驱动理论研究所



★【06_trade_buildings】



#############

# 贸易建筑

#############



building_commercial_zone|商业区



building_commercial_megaplex|超级商业复合区



building_galactic_stock_exchange|星际交易所



building_maintenance_depot|物流中心



★【07_amenity_buildings】



#############

# 舒适度建筑

#############

building_luxury_residence|奢侈住所



building_paradise_dome|乐土园



building_communal_housing|公共住房



building_communal_housing_large|乌托邦式公共住房



#机械智能住房

building_drone_storage|无人机库



building_drone_megastorage|升级版无人机库



#蜂巢思维住房

building_hive_warren|蜂巢养殖场



building_expanded_warren|拓展养殖场



building_holo_theatres|全息影像剧场



building_hyper_entertainment_forum|极乐广场



building_medical_1|医疗中心



building_medical_2|基因诊所



building_medical_3|细胞修复中心



building_overseer_homes|监工住宅



building_toxic_bath|诱变水疗中心



★【08_unity_buildings】



##################

# 凝聚力建筑

##################



# 常规帝国

building_autochthon_monument|先驱者纪念碑



building_heritage_site|传承遗迹



building_hypercomms_forum|超光速通讯论坛



##################

# 官僚

##################



building_bureaucratic_1|行政办公楼



building_bureaucratic_2|行政园区



building_bureaucratic_3|复合型行政区



##################

# 唯心

##################



building_temple|寺庙



building_holotemple|全息神殿



building_sacred_nexus|神圣中枢



##################

# 机械智能

##################



building_uplink_node|上行链路节点



building_network_junction|网络枢纽



building_system_conflux|系统汇流中心



##################

# 蜂巢思维

##################



building_hive_node|突触节点



building_hive_cluster|突触群



building_hive_confluence|思想集簇



##################

# 死亡教团

##################



building_sacrificial_temple_1|祭祀之殿



building_sacrificial_temple_2|恐怖全息寺庙



building_sacrificial_temple_3|大祭祀之殿



##################

# 记念主义

##################



building_galactic_memorial_1|长眠庇护所



building_galactic_memorial_2|静谧之柱



building_galactic_memorial_3|星海纪念堂



##########################

# 机械智能记念主义

##########################



building_simulation_1|模拟站点



building_simulation_2|模拟中心



building_simulation_3|模拟复合体



####################

# 企业政府记念主义

####################



building_corporate_monument|企业文化馆



building_corporate_site|商业管理枢纽



building_corporate_forum|协同论坛



#######################

# 蜂巢思维记念主义

#######################



building_sensorium_1|感知站点



building_sensorium_2|感知中心



building_sensorium_3|感知复合体



##################

# 凝聚力增强

##################



building_autocurating_vault|自新博物馆



building_citadel_of_faith|信念堡垒



building_corporate_vault|收藏宝库



building_alpha_hub|阿尔法枢纽



# 有机庇护所

building_organic_sanctuary|有机庇护所



building_organic_paradise|有机天堂



building_trophy_vault|创造性展览舱



# 古代遗物

building_league_offices|第一联盟归档办公室



★【09_army_buildings】



#############

# 军事建筑

#############



building_military_academy|军事学院



building_dread_encampment|恐惧营地



building_stronghold|要塞



building_fortress|堡垒



building_planetary_shield_generator|行星护盾生成器



★【10_deposit_buildings】



######################

## 行星特征限定建筑 #​#

######################



building_mote_harvesters|微粒捕获阱



building_gas_extractors|气体采集井



building_crystal_mines|水晶矿井



building_betharian_power_plant|贝塞里安发电站



building_xeno_zoo|异星动物园



★【11_primitive_buildings】



####################

# 前超光速文明建筑 #​

####################



building_crude_huts|简陋棚屋



building_primitive_dwellings|粗糙住房



building_stone_palace|石头宫殿



building_primitive_factory|基础工厂



building_primitive_offices|基础办公室



building_primitive_research|基础研究实验室



building_primitive_mine|原始矿坑



building_primitive_power_plant|原始发电厂



building_primitive_farm|原始农场



building_primitive_capital|地方首府



building_urban_dwellings|市区住宅



building_pre_ftl_radio_telescope|射电望远镜阵列



############################

# 前超光速蜂巢思维文明建筑 #​

############################



building_hive_crude_huts|简单蜂巢



building_hive_primitive_dwellings|早期群落



building_hive_stone_palace|石制蜂巢



building_hive_primitive_factory|基础工厂



building_hive_primitive_mine|原始矿坑



building_hive_primitive_power_plant|原始发电厂



building_hive_primitive_farm|原始农场



building_hive_primitive_capital|大陆节点



building_hive_urban_dwellings|工蜂储仓



building_hive_primitive_node|简单突触节点



building_machine_primitive_node|简单上行链路节点



building_primitive_clinic|基因诊所



building_solarpunk_gaiaseeder|盖亚播种器



building_solarpunk_ranger_lodge|自然保护区小屋



building_solarpunk_sapling|伟大树苗



building_solarpunk_organic_paradise|悬吊城市



★【12_event_buildings】



#####################

# 事件建筑

#####################



building_junkheap|垃圾堆



building_akx_worm_3|欧米伽同调装置



building_great_pyramid|大金字塔



building_artist_patron|文化中心



building_waste_reprocessing_center|废物回收中心



building_nuumismatic_shrine|拜金教神龛



building_crystal_plant_2|卡兰卡水晶合成厂



building_composer_sanctum|织缕圣所



building_eater_sanctum|喰煞圣所



building_instrument_sanctum|器具圣所



building_whisperers_sanctum|低语圣所



★【13_fallen_empire_buildings】



################

# 失落帝国建筑 #​

################



building_ancient_control_center|远古控制中心



building_ancient_hive_capital|庄严核心



building_ancient_palace|远古宫殿



building_fe_xeno_zoo|外星保护区



# 居住站行政中心

building_hab_fe_capital|居住站行政中心



#独特建筑



building_master_archive|主档案库



building_empyrean_shrine|相移九天神殿



building_ancient_cryo_chamber|远古冷冻室





# 非首府建筑

building_affluence_emporium|富足商埠



building_affluence_center|财富中心



building_nourishment_complex|营养复合体



building_nourishment_center|营养中心



building_dimensional_replicator|次元复制机



building_dimensional_fabricator|次元制造机



building_class_3_singularity|三级奇点



building_class_4_singularity|四级奇点



building_micro_forge|超级铸造厂



building_nano_forge|纳米熔炉



building_fe_sky_dome|天空穹顶



building_fe_dome|九天穹顶



building_fe_fortress|重盾垣壁



building_fe_stronghold|神盾基地



building_fe_administration_1|全晓管理机构



building_fe_administration_2|全知管理机构



building_fe_administration_hive_1|假突触簇集



building_fe_administration_hive_2|假突触轴突



building_fe_administration_machine_1|分型协调点



building_fe_administration_machine_2|量子协调点



building_fe_temple_1|天国圣所



building_fe_temple_2|天国圣堂



building_fe_assembly_1|机器人生产节点



building_fe_assembly_2|机器人量子生产中心



building_fe_clinic_1|分子焕活所



building_fe_clinic_2|生物再生所



building_fe_security_1|司法复合体



building_fe_security_2|司法殿堂



building_fe_market_1|星系贸易中心



building_fe_market_2|星际贸易枢纽



building_fe_silo_1|皱缩空间仓库



building_fe_silo_2|高维度仓库



building_fe_entertainment_1|虚拟极乐广场



building_fe_entertainment_2|无尽极乐枢纽



building_fe_lab_1|量子创新枢纽



building_fe_lab_2|超然创新部



building_fe_mine_1|量子钻穿工厂



building_fe_mine_2|量子钻穿中心



★【14_branch_office_buildings】



############

# 分部建筑 #​

############



## 常规企业政府 #​#

building_private_mining_consortium|私人矿业财团



building_food_conglomerate|快餐连锁



building_virtual_entertainment_studios|虚拟娱乐工作室



building_private_shipyards|私人军工厂



building_military_contractors|佣兵联络处



building_industrial_subsidiary|工业子公司



building_public_relations_office|公关公司



building_private_research_initiative|私人研究企业



building_amusement_megaplex|游乐城



building_commercial_forum|商业论坛



building_corporate_embassy|企业大使馆



building_private_security|私营安保公司



## 犯罪集团 #​#

building_wildcat_miners|非法开采作业



building_bio_reprocessing_facilities|有机回收中心



building_underground_chemists|地下制毒工厂



building_wrecking_yards|拆解厂



building_pirate_haven|海盗自由港



building_underground_clubs|地下俱乐部



building_syndicate_outreach_office|犯罪集团皮包公司



building_illicit_research_labs|非法研究实验室



building_smuggling_rings|走私港



building_disinformation_center|假情报中心



building_subversive_shrine|邪教神殿



## 百姓福音 #​#



building_temple_of_prosperity|繁荣神殿



## 特殊 #​#



building_executive_retreat|高管度假村



building_xeno_tourism_agency|外星拓展中介



building_imperial_concession_port|帝国特许口岸



## 毒圣骑士 #​#



building_knightly_theme_park|骑士游乐场



## 制药邦 #​#

building_corporate_clinics|企业诊所



# 强化改造集市 #​

building_augmentation_bazaars_branch|外域植入体中心



# 合成物理建筑

building_ai_emporium|人工智能商埠



# 合成虚拟建筑

building_clear_thought_clinic|思想清理诊所



★【15_overlord_holdings】



holding_garrison|宗主驻营



holding_orbital_assembly_complex|轨道装配复合体



holding_propaganda_office|真理部



holding_satellite_campus|卫星园区



holding_emporium|商埠



holding_aid_agency|援助机构



holding_energy_requisitorium|能量部



holding_material_requisitorium|提炼部



holding_produce_requisitorium|收获部



holding_splinter_hive|分离蜂巢



holding_distributed_processing|分布式处理器



holding_offspring_nest|子嗣巢穴



holding_offworld_foundry|外域铸造厂



holding_overlord_vigil_command|警戒指挥部



holding_parasitic_algorithms|科研部



holding_noble_vacation_homes|贵族行宫



holding_dread_outpost|恐惧前哨



holding_communal_housing_outreach|公共住房计划推广



holding_idyllic_bloom|盖亚播种器前哨



holding_reemployment_center|再就业中心



holding_recruitment_office|招募办公室



holding_park_ranger_lodge|护林员小屋



holding_tree_of_life_sapling|生命之树苗



holding_experimental_crater|实验性坑洞



holding_organic_sanctuary|有机庇护所



holding_franchise_headquarters|连锁企业总部



holding_sacrificial_shrine|祭献神龛



holding_toxic_bath|诱变水疗中心



holding_toxic_bath_hive|诱变重构池



holding_toxic_bath_machine|超润滑洗槽



holding_knight_commandery|骑士团支部



holding_transcendental_retreat|基因组服务外延



holding_wilderness_glade|荒野林地 # 基于 'holding_splinter_hive'



★【16_first_contact_buildings】



#####################

# 低科技建筑

#####################



building_low_tech_scrap_refinery|废金精炼厂



building_low_tech_admin_hub|行政中心



building_low_tech_power_plant|发电站



building_low_tech_farm|应急农场



building_low_tech_capital|指挥中心



building_low_tech_research_lab|实验中心



★【17_paragon_buildings】



#####################

# 至臻完人起源独特建筑

#####################



#####################

# 至臻完人建筑

#####################



building_paragon_memory_vaults|知识宝库



### 凝望者

building_the_beholder|低语金字塔



### 艾琳莎

building_contained_ecosphere|受控生态圈



★【18_astral_planes_buildings】



#####################

# 星界位面独特建筑

#####################



building_astral_siphon_1|星界虹吸



building_astral_siphon_2|星界漏斗



building_astral_siphon_3|星界节点



★【19_cosmic_storm_buildings】



################

# 宇宙风暴建筑 #​

################



building_storm_attraction_center|风暴吸引中心



building_advanced_storm_attraction_center|先进风暴吸引中心



building_storm_repellent_center|风暴驱斥中心



building_advanced_storm_repellent_center|先进风暴驱斥中心



building_storm_resistant_production|风暴救援中心 # 另请参阅 'building_wilderness_storm_relief'



building_advanced_storm_resistant_production|风暴抑制器 # 另请参阅 'building_wilderness_storm_relief' (non-upgradeable)



building_adakkaria_patriotic_institute|爱国庆典学院



building_astrometeorology_observation_center|星际气象观测台



building_storm_summoning_theater|风暴召唤剧场



building_storm_holo_theater|全息风暴展厅



building_storm_grand_theater|宏伟风暴剧场



★【20_machine_age_buildings】



#####################

#  强化改造集市  #​

#####################



building_augmentation_bazaars|强化改造集市



#################

#  自然设计  #​

#################



building_transcendental_retreat|染色体服务中心



building_hive_transcendental_retreat|基因组保存养殖场



#############

# 义体信条  #​

#############



#科研

building_amphitheater_of_the_mind|思想殿堂



building_grand_concert_hall_of_the_mind|思宏礼堂



#军事

building_battlement_of_steel|钢铁营房



building_grand_battlements_of_steel|钢铁圣营



#一产

building_sanctuary_of_toil|劳力圣所



building_grand_cathedral_of_toil|劳力圣堂



#二产

building_forge_of_the_fellowship|使团熔炉



building_grand_forge_of_the_fellowship|使团巨炉



#联合

building_the_sanctum_of_augmentation|强化之圣堂



building_the_united_sanctum_of_augmentation|联合强化之圣堂



#############

# 合成繁衍  #​

#############



building_identity_repository|人格仓库



building_abandoned_gene_clinic|废弃基因诊所



#################

# 突触凝练机  #​

#################



building_lathe_capital|处理单元



building_lathe_major_capital|处理单元：并行



building_lathe_super_capital|处理单元：矢量



building_lathe_resonator|突触共振器



building_lathe_stabilisator|神经稳定器



building_lathe_overclocker|突触超频器



building_lathe_preserver|突触保存器



building_lathe_reactor|扩展反应堆



building_lathe_life_support|突触维持器



building_lathe_cogitator|突触沉思器



building_lathe_validator|突触验证器



#########################

# 义体化局势

#########################



building_augmentation_center|强化改造中心



building_cyberdome|义体斗兽场 # 义体高级政体



###########################

# 合成化局势

###########################



building_identity_complex|人格复合体



#############

#  纳米  #​

#############



building_nanolab_1|纳米研究设施



building_nanolab_2|纳米研究复合体



building_nanotech_cauldron|纳米熔炉



★【21_grand_archive_buildings】



####################

# 博物天枢独特建筑 #​

####################



xeno_geology_holomuseum|全息地质博物馆



aesthetic_wonders_holomuseum|全息惊奇博物馆



galactic_history_holomuseum|全息历史博物馆



wildlife_ranch|野生动物农场



wildlife_ranch_2|野生动物地段



wildlife_ranch_3|野生动物中枢



hunting_grounds|狩猎场



hunting_grounds_2|狩猎地带



hunting_grounds_3|狩猎中枢



wildlife_sanctuary|野生动物保护区



wildlife_sanctuary_2|先进保护区



wildlife_sanctuary_3|中枢保护区



primal_arena|野性竞技场



primal_arena_2|野性驯兽场



primal_arena_3|野性斗兽场



symbiosis_nexus|共生节点



symbiosis_nexus_2|共生地带



symbiosis_nexus_3|共生中枢



★【21_wilderness_buildings】



####################

# 首府建筑

####################

# 0级

building_colony_shelter_wilderness|行星卷须



# 1级

building_capital_wilderness|行星根束



# 2级

building_major_capital_wilderness|行星根簇



# 3级

building_system_capital_wilderness|行星根枢



# 星海帝国

building_imperial_capital_wilderness|帝国主巢



building_cradle_of_rebirth|再生源地



# 卷须源地

building_tendril_cradle_1|卷须源地



building_tendril_cradle_2|须网地带



building_tendril_cradle_3|输根巢穴



building_tendril_cradle_4|行星须核



#####################

# 资源建筑

#####################



# 科研

building_brain_node_1|科研蔓生



building_brain_node_2|科研密林



building_brain_node_3|异星科研包络



building_brain_node_4|高级研究围场



# 凝聚力

building_commensal_clearing_1|共栖林间地



building_commensal_clearing_2|共栖密林



building_commensal_clearing_3|共栖山谷



building_commensal_clearing_4|共栖群系



# 食物

building_massive_growth_1|营养溪谷



building_massive_growth_2|营养灌丛



building_massive_growth_3|巨型梯田



building_massive_growth_4|森林学种植园



# 能量币

building_bioelectric_stimulator_1|叶绿体适应器



building_bioelectric_stimulator_2|叶绿体加速器



building_bioelectric_stimulator_3|叶绿体透镜阵列



building_bioelectric_stimulator_4|叶绿包囊



# 矿物

building_churning_tunnels_1|石质钻孔



building_churning_tunnels_2|石质滤筛



building_churning_tunnels_3|石质研磨器



building_churning_tunnels_4|石质采盆



# 合金

building_natural_furnace_0|熔炼热池



building_natural_furnace_1|熔炼热窑



building_natural_furnace_2|固态光冶炼炉



building_natural_furnace_3|纳米熔炉



# 舒适度

building_avatar_chamber_1|化身摇篮



building_avatar_chamber_2|化身洞窟



building_avatar_chamber_3|化身密林



building_avatar_chamber_4|化身皮层



# 易爆微粒

building_mote_aggravator|化学消化器



# 异星天然气

building_churning_stomach|异星天然气滤网



# 稀有水晶

building_crystal_growth|水晶矿床



#####################

# 军事 & 防御

#####################



building_planetary_carapace|骸骨驻地



building_planetary_carapace_2|骸骨堡垒



# 行星护盾

building_ozone_thickener|行星护盾天幕



# 宇宙风暴建筑

# 不能升级

building_wilderness_storm_relief|风暴救援中心



##########

# 储存

##########

building_subterranean_cache|地下贮库



★【22_biogenesis_buildings】



####################

# 万物竞发独特建筑 #​

####################



#深空擎天堡



building_citadel_uplink|擎天堡上行链路



##############################

# 基因飞升局势

##############################



building_genomic_facility|基因组研究所



区划代码


添加区划



effect add_district = <key>

或

effect = {

add_district = {

district_type = <key>

ignore_cap = <yes/no> #default no

type_conversion = <yes/no> #default no

}



移除区划

effect remove_district = <key>



★【00_special_districts】



district_cosmogenesis_goverment||



district_cosmogenesis_world_science|神经之门|



district_cosmogenesis_world_logic|扩充思维区|



district_mindlink|智链都会|



★【00_urban_districts】



district_city|城市区划|



district_crashed_slaver_ship|拾荒站|



district_resort|起居区划|



district_resort_1|景点区划|



district_resort_2|景点区划|



district_resort_3|景点区划|



district_prison|监狱区划|



district_slave|奴隶居住区划|



district_hive|蜂巢区划|



district_hive_1|蜂巢区划|



district_hive_2|蜂巢区划|



district_hive_3|蜂巢区划|



district_nexus|中枢区划|



district_nexus_1|中枢区划|



district_nexus_2|中枢区划|



district_nexus_3|中枢区划|



district_prison_industrial|劳改区划|



district_battle_thrall|战仆区划|



district_srw_commercial|贸易区划|



★【01_arcology_districts】



district_arcology_housing|居住理想城|



district_arcology_leisure|休闲理想城|



district_arcology_urban_1|特化理想城01|



district_arcology_urban_2|特化理想城02|



district_arcology_urban_3|特化理想城03|



★【02_rural_districts】



district_generator|发电区划|



district_generator_uncapped|发电区划|



district_mining|采矿区划|



district_mining_uncapped|采矿区划|



district_farming|农业区划|



district_farming_uncapped|农业区划|



★【03_habitat_districts】



district_hab_housing|居住站区划|



district_hab_energy|反应堆区划|



district_hab_mining|航天采矿湾|



district_hab_science|研究区划|



★【04_ringworld_districts】



district_rw_city|城市区段|



district_rw_hive|蜂巢区段|



district_rw_nexus|中枢区段|



district_rw_generator|发电区段|



district_rw_commercial|商业区段|



district_rw_science|研究区段|



district_rw_farming|农业区段|



district_rw_industrial|工业区段|



district_rw_urban_1|城市区段01|



district_rw_urban_2|城市区段02|



district_rw_urban_3|城市区段03|



★【05_wilderness_districts】



# 城市 (蓝)

district_craglands|共栖群落|



# 发电 (黄)

district_photosynthesis_fields|光合原野|



district_photosynthesis_fields_uncapped|光合原野|



# 矿产 (红)

district_hollow_mountains|中空山岭|



district_hollow_mountains_uncapped|中空山岭|



# 农业 (绿)

district_orchard_forests|硕果森林|



district_orchard_forests_uncapped|硕果森林|



★【06_swap_districts】



district_orders_demesne|骑士团辖地



# 理想城



district_arcology_mixed_industry|工业理想城



district_arcology_arms_industry|铸造理想城



district_arcology_civilian_industry|工业理想城



district_arcology_research|科研理想城



district_arcology_research_physics|物理理想城



district_arcology_research_society|生物理想城



district_arcology_research_engineering|工程理想城



district_arcology_administrative|行政理想城



district_arcology_spiritualist|教会理想城



district_arcology_organic_housing|庇护所理想城



district_arcology_fortress|堡垒理想城



district_arcology_trade|商业理想城



# 环世界



district_ring_world_industrial|工业区段



district_ring_world_foundry|铸造区段



district_ring_world_factory|工厂区段



district_ring_world_research|研究区段



district_ring_world_research_physics|物理区段



district_ring_world_research_society|生物区段



district_ring_world_research_engineering|工程区段



district_ring_world_administrative|行政区段



district_ring_world_spiritualist|教会区段



district_ring_world_organic_housing|庇护所区段



district_ring_world_fortress|堡垒区段



district_ring_world_trade|商业区段



district_ring_world_food|农业区段



district_ring_world_energy|发电区段



# 机械星球和纳米星球



district_nexus_industrial|工业枢纽



district_nexus_foundry|铸造枢纽



district_nexus_factory|工业枢纽



district_nexus_research|科研枢纽



district_nexus_research_physics|物理枢纽



district_nexus_research_society|生物枢纽



district_nexus_research_engineering|工程枢纽



district_nexus_administrative|协调枢纽



district_nexus_spiritualist|教会枢纽



district_nexus_organic_housing|中枢保护区



district_nexus_fortress|堡垒枢纽



district_nexus_trade|物流枢纽



district_nexus_mining|采矿枢纽



district_nexus_energy|发电枢纽



# 蜂巢星球



district_hive_industrial|工业集群



